ID,Bay,Indiv,Farm,Distance,Lat,Lng,Date,State,Ploidy,Culture,Valve,Shell_g,Tissue_g,x,y,z,Thick,Infested
2020 Winter Hoodsport,Hood Canal,27,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,39.2,NA,61.6,89.6,20,NA,NA
2020 Winter Hoodsport,Hood Canal,28,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,14.07,6.31,39.7,70.5,10.3,NA,0
2020 Winter Hoodsport,Hood Canal,28,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,20.5,NA,43.2,75.1,15.2,NA,NA
2020 Winter Hoodsport,Hood Canal,29,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,23.44,12.18,38.1,75.4,10.2,NA,0
2020 Winter Hoodsport,Hood Canal,29,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,32.97,NA,50.9,84.5,22.3,NA,NA
2020 Winter Hoodsport,Hood Canal,30,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,21.94,15.22,50.2,88.3,6.63,NA,0
2020 Winter Hoodsport,Hood Canal,30,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,35.39,NA,61.8,93.6,23.4,NA,NA
2020 Winter Hoodsport,Hood Canal,31,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,23.78,18.39,60,74.7,12.6,NA,0
2020 Winter Hoodsport,Hood Canal,31,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,24.03,NA,66.4,79.5,11,NA,NA
2020 Winter Hoodsport,Hood Canal,32,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,23.48,19.27,50.7,79.9,10.2,NA,0
2020 Winter Hoodsport,Hood Canal,32,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,47.55,NA,61,94,28.6,NA,NA
2020 Winter Hoodsport,Hood Canal,33,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,20.4,15.17,43.1,69.2,10,NA,0
2020 Winter Hoodsport,Hood Canal,33,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,30.4,NA,51.6,86.8,17.3,NA,NA
2020 Winter Hoodsport,Hood Canal,34,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,17.96,17.19,45.3,74.3,10,NA,0
2020 Winter Hoodsport,Hood Canal,34,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,28.3,NA,54.5,95.9,24.3,NA,NA
